exchange,code,name,listed_from,listed_to_exclusive,list_evidence_class,delist_evidence_class
SZSE,002926,华西证券,2018-02-05,,RETROSPECTIVE_PRIMARY,
SZSE,002927,泰永长征,2018-02-23,,RETROSPECTIVE_PRIMARY,
SZSE,002928,华夏航空,2018-03-02,,RETROSPECTIVE_PRIMARY,
SZSE,002929,润建股份,2018-03-01,,RETROSPECTIVE_PRIMARY,
SZSE,002930,宏川智慧,2018-03-28,,RETROSPECTIVE_PRIMARY,
SZSE,002931,锋龙股份,2018-04-03,,RETROSPECTIVE_PRIMARY,
SZSE,002932,*ST明德,2018-07-10,,RETROSPECTIVE_PRIMARY,
SZSE,002933,新兴装备,2018-08-28,,RETROSPECTIVE_PRIMARY,
SZSE,002935,天奥电子,2018-09-03,,RETROSPECTIVE_PRIMARY,
SZSE,002936,郑州银行,2018-09-19,,RETROSPECTIVE_PRIMARY,
SZSE,002937,兴瑞科技,2018-09-26,,RETROSPECTIVE_PRIMARY,
SZSE,002938,鹏鼎控股,2018-09-18,,RETROSPECTIVE_PRIMARY,
SZSE,002939,长城证券,2018-10-26,,RETROSPECTIVE_PRIMARY,
SZSE,002940,昂利康,2018-10-23,,RETROSPECTIVE_PRIMARY,
SZSE,002941,新疆交建,2018-11-28,,RETROSPECTIVE_PRIMARY,
SZSE,002942,新农股份,2018-12-05,,RETROSPECTIVE_PRIMARY,
SZSE,002943,宇晶股份,2018-11-29,,RETROSPECTIVE_PRIMARY,
SZSE,002945,华林证券,2019-01-17,,RETROSPECTIVE_PRIMARY,
SZSE,002946,新乳业,2019-01-25,,RETROSPECTIVE_PRIMARY,
SZSE,002947,恒铭达,2019-02-01,,RETROSPECTIVE_PRIMARY,
SZSE,002948,青岛银行,2019-01-16,,RETROSPECTIVE_PRIMARY,
SZSE,002949,华阳国际,2019-02-26,,RETROSPECTIVE_PRIMARY,
SZSE,002950,奥美医疗,2019-03-11,,RETROSPECTIVE_PRIMARY,
SZSE,002951,金时科技,2019-03-15,,RETROSPECTIVE_PRIMARY,
SZSE,002952,亚世光电,2019-03-28,,RETROSPECTIVE_PRIMARY,
SZSE,002953,日丰股份,2019-05-09,,RETROSPECTIVE_PRIMARY,
SZSE,002955,鸿合科技,2019-05-23,,RETROSPECTIVE_PRIMARY,
SZSE,002956,西麦食品,2019-06-19,,RETROSPECTIVE_PRIMARY,
SZSE,002957,科瑞技术,2019-07-26,,RETROSPECTIVE_PRIMARY,
SZSE,002958,青农商行,2019-03-26,,RETROSPECTIVE_PRIMARY,
SZSE,002959,小熊电器,2019-08-23,,RETROSPECTIVE_PRIMARY,
SZSE,002960,青鸟智控,2019-08-09,,RETROSPECTIVE_PRIMARY,
SZSE,002961,瑞达期货,2019-09-05,,RETROSPECTIVE_PRIMARY,
SZSE,002962,五方光电,2019-09-17,,RETROSPECTIVE_PRIMARY,
SZSE,002963,豪尔赛,2019-10-28,,RETROSPECTIVE_PRIMARY,
SZSE,002965,祥鑫科技,2019-10-25,,RETROSPECTIVE_PRIMARY,
SZSE,002966,苏州银行,2019-08-02,,RETROSPECTIVE_PRIMARY,
SZSE,002967,广电计量,2019-11-08,,RETROSPECTIVE_PRIMARY,
SZSE,002968,新大正,2019-12-03,,RETROSPECTIVE_PRIMARY,
SZSE,002969,嘉美包装,2019-12-02,,RETROSPECTIVE_PRIMARY,
SZSE,002970,锐明技术,2019-12-17,,RETROSPECTIVE_PRIMARY,
SZSE,002971,和远气体,2020-01-13,,RETROSPECTIVE_PRIMARY,
SZSE,002972,科安达,2019-12-27,,RETROSPECTIVE_PRIMARY,
SZSE,002973,侨银股份,2020-01-06,,RETROSPECTIVE_PRIMARY,
SZSE,002975,博杰股份,2020-02-05,,RETROSPECTIVE_PRIMARY,
SZSE,002976,瑞玛精密,2020-03-06,,RETROSPECTIVE_PRIMARY,
SZSE,002977,*ST天箭,2020-03-17,,RETROSPECTIVE_PRIMARY,
SZSE,002978,安宁股份,2020-04-17,,RETROSPECTIVE_PRIMARY,
SZSE,002979,雷赛智能,2020-04-08,,RETROSPECTIVE_PRIMARY,
SZSE,002980,华盛昌,2020-04-15,,RETROSPECTIVE_PRIMARY,
SZSE,002981,朝阳科技,2020-04-17,,RETROSPECTIVE_PRIMARY,
SZSE,002982,湘佳股份,2020-04-24,,RETROSPECTIVE_PRIMARY,
SZSE,002983,芯瑞达,2020-04-28,,RETROSPECTIVE_PRIMARY,
SZSE,002984,森麒麟,2020-09-11,,RETROSPECTIVE_PRIMARY,
SZSE,002985,北摩高科,2020-04-29,,RETROSPECTIVE_PRIMARY,
SZSE,002986,宇新股份,2020-06-02,,RETROSPECTIVE_PRIMARY,
SZSE,002987,京北方,2020-05-07,,RETROSPECTIVE_PRIMARY,
SZSE,002988,豪美新材,2020-05-18,,RETROSPECTIVE_PRIMARY,
SZSE,002989,中天精装,2020-06-10,,RETROSPECTIVE_PRIMARY,
